                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80428,                0.34467,                0.94103,                0.99284,                0.99175,                0.99491,                0.72557,                 1.0607,                0.37507,                 1.0365,             0.00032867,             0.00032867,             0.00032867
                     37,                0.80019,                0.33775,                0.94969,                0.98982,                0.99271,                0.99488,                0.71273,                  1.078,                0.38513,                 1.0364,             0.00029723,             0.00029723,             0.00029723
                     38,                 0.7961,                0.33991,                0.95471,                0.99923,                0.98674,                0.99495,                0.72771,                 1.0374,                0.37138,                 1.0155,             0.00026579,             0.00026579,             0.00026579
                     39,                0.78999,                0.33063,                0.96149,                0.99578,                 0.9923,                0.99488,                0.72741,                 1.0418,                0.36479,                 1.0194,             0.00023436,             0.00023436,             0.00023436
                     40,                0.79706,                0.33739,                0.96073,                0.99585,                0.98963,                0.99491,                0.72478,                 1.0258,                0.35872,                 1.0095,             0.00020292,             0.00020292,             0.00020292
                     41,                0.79617,                0.33266,                0.94773,                0.99563,                 0.9914,                0.99493,                0.72423,                 1.0321,                 0.3635,                 1.0161,             0.00017148,             0.00017148,             0.00017148
                     42,                0.79312,                0.33279,                0.94802,                0.99537,                0.99271,                0.99493,                0.71971,                 1.0737,                0.37756,                 1.0381,             0.00014004,             0.00014004,             0.00014004
                     43,                0.77818,                0.32048,                0.94541,                 0.9955,                 0.9922,                0.99495,                0.72163,                 1.0786,                0.37709,                   1.04,              0.0001086,              0.0001086,              0.0001086
                     44,                0.77276,                0.31916,                0.93962,                0.99772,                0.99191,                0.99495,                0.71512,                 1.0922,                0.36446,                   1.05,             7.7166e-05,             7.7166e-05,             7.7166e-05
                     45,                0.76084,                0.31272,                0.93994,                0.99828,                0.99245,                 0.9949,                 0.7157,                 1.1002,                0.35939,                 1.0527,             4.5728e-05,             4.5728e-05,             4.5728e-05
